PASCO,,FLIR
65.85,-0.098382,65.866,314.1665039
66.35,-0.098384,66.333,314.230835
66.8,-0.098212,66.8,311.9581299
67.2,-0.098728,67.199,312.3924561
67.65,-0.09804,67.666,312.7837219
68,-0.098212,68,313.6916809
68.45,-0.099593,68.466,312.8961182
68.8,-0.098728,68.8,316.5413513
69.25,-0.098212,69.266,317.1249695
69.6,-0.098042,69.6,315.4871216
70.05,-0.098384,70.066,317.6433105
70.4,-0.097698,70.4,314.6976624
70.8,-0.097868,70.8,315.874176
71.2,-0.097696,71.199,313.1972961
71.55,-0.097517,71.533,317.0964355
71.95,-0.097352,71.933,316.535614
72.4,-0.09787,72.4,319.3928833
72.75,-0.097524,72.733,320.7805481
73.15,-0.09718,73.133,322.0652771
73.55,-0.097873,73.533,319.8236694
73.95,-0.097352,73.933,322.2078247
74.35,-0.097698,74.333,321.5870972
74.75,-0.097526,74.733,319.3704834
75.05,-0.097352,75.066,320.8248596
75.55,-0.09718,75.533,317.415741
75.85,-0.09718,75.866,319.8013306
76.35,-0.097008,76.333,317.9101868
76.65,-0.097352,76.666,322.2352295
77.05,-0.096836,77.066,320.5753174
77.45,-0.097182,77.466,323.5812683
77.85,-0.097008,77.866,323.5758667
78.25,-0.097008,78.266,323.8466492
78.65,-0.097008,78.666,324.7361755
79.05,-0.09701,79.066,322.923645
79.45,-0.097354,79.466,322.8746033
79.8,-0.09718,79.8,323.5596008
80.25,-0.097182,80.266,323.8466492
80.6,-0.097526,80.6,321.0849915
81,-0.097008,81,325.7849731
81.4,-0.097008,81.4,324.1924133
81.8,-0.097698,81.8,326.0883789
82.2,-0.09787,82.199,324.8113708
82.6,-0.097354,82.6,325.7849731
82.95,-0.097352,82.933,321.7961731
83.4,-0.096836,83.4,323.4022522
83.75,-0.09718,83.733,324.569519
84.2,-0.09718,84.199,321.1126404
84.55,-0.097008,84.533,324.3110352
84.95,-0.097008,84.933,321.598114
85.35,-0.097352,85.333,325.3044434
85.75,-0.097008,85.733,323.3696899
86.15,-0.097352,86.133,326.412323
86.55,-0.097352,86.533,323.5108032
86.85,-0.09718,86.866,324.6878052
87.35,-0.09718,87.333,323.2229919
87.65,-0.097696,87.666,323.8466492
88.15,-0.097173,88.133,323.5108032
88.45,-0.097526,88.466,323.3696899
88.85,-0.097696,88.866,324.5049438
89.25,-0.097352,89.266,321.344574
89.65,-0.097868,89.666,323.9980164
90.05,-0.097868,90.066,323.331665
90.45,-0.097696,90.466,323.5324707
90.8,-0.097524,90.8,320.0858765
91.25,-0.098042,91.266,321.3997192
91.6,-0.097522,91.6,318.8143311
92,-0.098214,92,320.9743652
92.4,-0.09804,92.4,319.9129944
92.75,-0.097868,92.733,321.1236877
93.15,-0.09804,93.133,319.9855042
93.55,-0.097691,93.533,322.2680969
93.95,-0.09804,93.933,323.6463318
94.25,-0.098214,94.266,322.3940125
94.65,-0.098042,94.666,321.3335266
95.05,-0.098042,95.066,319.0730591
95.55,-0.098384,95.533,319.2414856
95.85,-0.09804,95.866,317.4726868
96.35,-0.098386,96.333,318.7636414
96.65,-0.098384,96.666,315.7702942
97.05,-0.098212,97.066,317.6490173
97.4,-0.098384,97.4,316.1852112
97.8,-0.09873,97.8,319.6560059
98.15,-0.098212,98.133,318.2387085
98.55,-0.099074,98.533,319.9353027
98.95,-0.098384,98.933,318.1141968
99.35,-0.098384,99.333,318.3970032
99.75,-0.098728,99.733,317.1820374
100.15,-0.098212,100.133,317.620575
100.55,-0.098384,100.533,318.0462341
100.95,-0.098384,100.933,316.1679382
101.35,-0.098386,101.333,318.4252319
101.75,-0.098384,101.733,317.9952393
102.15,-0.098728,102.133,320.1972656
102.6,-0.098556,102.6,320.1192932
103,-0.099246,103,318.9494019
103.4,-0.099077,103.4,317.2162781
103.75,-0.098902,103.733,317.7171936
104.2,-0.098728,104.199,316.6560059
104.55,-0.100109,104.533,315.5623169
104.95,-0.102698,104.933,318.2217407
105.25,-0.099074,105.266,316.1622009
105.75,-0.099074,105.733,317.6546936
106.05,-0.10062,106.066,315.4292603
106.6,-0.099418,106.6,318.9831238
107,-0.099944,107,317.9101868
107.4,-0.101504,107.4,318.3009033
107.85,-0.101669,107.866,317.4214478
108.2,-0.098554,108.199,315.9491272
108.65,-0.099038,108.666,315.296051
109,-0.098902,109,314.7558899
109.4,-0.100283,109.4,317.1363831
109.8,-0.100154,109.8,316.2886963
110.25,-0.10045,110.266,317.2105713
110.6,-0.099583,110.6,315.5507507
111.05,-0.099249,111.066,316.4093323
111.4,-0.099421,111.4,315.1684875
111.8,-0.099244,111.8,316.3518982
112.25,-0.099244,112.266,316.9307251
112.6,-0.099244,112.6,313.480072
113.05,-0.099416,113.066,314.750061
113.4,-0.099072,113.4,315.0756226
113.8,-0.099586,113.8,316.3231812
114.2,-0.099416,114.199,314.732605
114.6,-0.099203,114.6,316.6273499
115.05,-0.101306,115.066,316.5126648
115.4,-0.099045,115.4,315.4697571
115.8,-0.099072,115.8,313.291626
116.15,-0.10115,116.133,314.1665039
116.55,-0.100111,116.533,312.6949158
117,-0.101141,117,313.150116
117.35,-0.099244,117.333,313.7856445
117.8,-0.099244,117.8,313.6682129
118.2,-0.0989,118.199,315.9318237
118.6,-0.098728,118.6,317.0907288
119,-0.099074,119,318.6453247
119.35,-0.098728,119.333,317.7001648
119.8,-0.0989,119.8,319.7286987
120.15,-0.098384,120.133,315.7183533
120.55,-0.09873,120.533,316.7362061
120.95,-0.098551,120.933,317.1592102
121.35,-0.098733,121.333,319.3312378
121.75,-0.09959,121.733,321.6806641
122.15,-0.09804,122.133,322.098175
122.45,-0.098384,122.466,322.9508972
122.95,-0.098214,122.933,322.4268188
123.25,-0.098212,123.266,325.1170654
123.75,-0.098212,123.733,319.7957458
124.05,-0.098384,124.066,322.0378418
124.45,-0.099074,124.466,317.3815613
124.85,-0.098384,124.866,319.5832825
125.25,-0.098389,125.266,316.8678284
125.65,-0.098214,125.666,319.3088074
126.05,-0.09804,126.066,317.4442139
126.4,-0.097698,126.4,323.3805542
126.8,-0.098042,126.8,323.1196594
127.15,-0.097517,127.133,325.058136
127.55,-0.097696,127.533,323.6138
128,-0.09804,128,325.0527649
128.35,-0.09787,128.333,323.5867004
128.8,-0.09787,128.8,321.0241699
129.15,-0.097868,129.133,320.9577637
129.55,-0.09804,129.533,321.2065735
129.95,-0.098021,129.933,323.3045044
130.25,-0.097696,130.266,320.880249
130.65,-0.097863,130.666,324.7469177
131.05,-0.100281,131.066,325.2027588
131.45,-0.09804,131.466,324.9455566
131.95,-0.097868,131.933,324.1816101
132.25,-0.097868,132.266,324.2301636
132.75,-0.097689,132.733,324.0952454
133.05,-0.097868,133.066,319.4993286
133.45,-0.097689,133.466,322.8200684
133.85,-0.09787,133.866,320.8968811
134.2,-0.097863,134.199,323.456543
134.55,-0.09787,134.533,322.5908203
134.95,-0.098214,134.933,325.4220581
135.4,-0.097698,135.4,323.0380249
135.8,-0.098042,135.8,324.6286926
136.2,-0.098042,136.199,322.0268555
136.55,-0.098382,136.533,322.9563293
136.85,-0.097524,136.866,319.5664978
137.25,-0.097868,137.266,320.95224
137.65,-0.09804,137.666,320.8581238
138.2,-0.097696,138.199,320.6585693
138.6,-0.09804,138.6,322.6345215
139,-0.097522,139,321.977478
139.4,-0.098042,139.4,324.9455566
139.8,-0.09804,139.8,322.2023315
140.15,-0.098042,140.133,324.5748901
140.55,-0.097679,140.533,320.8636475
140.95,-0.097868,140.933,322.4596558
141.35,-0.098382,141.333,319.3144226
141.75,-0.098042,141.733,321.6751709
142.15,-0.09873,142.133,321.7741699
142.45,-0.097868,142.466,322.1365662
142.85,-0.097684,142.866,324.4187927
143.25,-0.097868,143.266,322.8963928
143.75,-0.098212,143.733,323.9656067
144.05,-0.097868,144.066,321.6036072
144.55,-0.098558,144.533,323.7925415
144.85,-0.097868,144.866,322.6618347
145.25,-0.098214,145.266,321.993927
145.65,-0.097696,145.666,319.6560059
146,-0.09804,146,321.8511353
146.4,-0.097868,146.4,321.4603882
146.85,-0.09804,146.866,323.7438049
147.2,-0.099082,147.199,326.4706421
