PASCO,,FLIR
283.95,-0.104576,283.933,299.0552063
284.4,-0.10406,284.4,299.1154175
284.75,-0.104576,284.733,299.0686035
285.15,-0.104232,285.133,299.1622314
285.55,-0.10475,285.533,299.0819702
285.95,-0.104404,285.933,299.0351257
286.35,-0.104406,286.333,298.9882507
286.75,-0.104576,286.733,299.0886536
287.05,-0.104578,287.066,299.2157288
287.55,-0.104232,287.533,299.3025818
287.85,-0.104576,287.866,299.1020508
288.25,-0.104404,288.266,298.9212341
288.6,-0.104232,288.6,298.9011536
289,-0.104402,289,298.7938232
289.35,-0.104404,289.333,298.7602844
289.75,-0.104227,289.733,298.6662598
290.05,-0.104576,290.066,298.7871094
290.6,-0.104404,290.6,298.7468567
290.95,-0.104576,290.933,298.7132874
291.4,-0.104576,291.4,298.7602844
291.8,-0.104232,291.8,298.7468567
292.25,-0.104576,292.266,298.6998596
292.6,-0.104404,292.6,298.733429
293.05,-0.104748,293.066,298.5654297
293.4,-0.104576,293.4,298.5923462
293.8,-0.104404,293.8,298.6124878
294.25,-0.104748,294.266,298.5385437
294.6,-0.104576,294.6,298.4375916
295,-0.104404,295,298.4510498
295.35,-0.104748,295.333,298.5183716
295.8,-0.104576,295.8,298.6931458
296.25,-0.104232,296.266,298.6124878
296.65,-0.104748,296.666,298.5452576
297,-0.104404,297,298.5250854
297.4,-0.104404,297.4,298.4375916
297.85,-0.104576,297.866,298.3365479
298.25,-0.104578,298.266,298.3028564
298.65,-0.104748,298.666,298.4712524
299,-0.10475,299,298.4577942
299.45,-0.104404,299.466,298.4510498
299.8,-0.104748,299.8,298.4173889
300.2,-0.104576,300.199,298.5788879
300.6,-0.104404,300.6,298.625946
301,-0.104748,301,298.5250854
301.4,-0.104576,301.4,298.4173889
301.85,-0.104578,301.866,298.3500366
302.2,-0.104576,302.199,298.2826233
302.6,-0.104576,302.6,298.2556458
303,-0.104404,303,298.1476746
303.4,-0.104748,303.4,298.1611938
303.8,-0.104404,303.8,298.2893677
304.2,-0.104571,304.199,298.3769836
304.6,-0.104576,304.6,298.2893677
305,-0.104576,305,298.2219238
305.4,-0.104746,305.4,298.1881714
305.75,-0.104748,305.733,298.2556458
306.15,-0.104576,306.133,298.1544189
306.55,-0.104399,306.533,298.242157
306.95,-0.104748,306.933,298.1611938
307.35,-0.104576,307.333,298.1544189
307.85,-0.10492,307.866,298.1476746
308.25,-0.10475,308.266,298.1274109
308.65,-0.10475,308.666,298.1071777
309.05,-0.104746,309.066,298.1746826
309.55,-0.10475,309.533,298.1274109
309.95,-0.10475,309.933,298.0733948
310.35,-0.104748,310.333,297.9313965
310.65,-0.104748,310.666,297.9516907
311.15,-0.104576,311.133,297.9381714
311.45,-0.10492,311.466,297.9178772
311.85,-0.104748,311.866,297.8908081
312.25,-0.104574,312.266,297.8095703
312.65,-0.104748,312.666,297.863739
313.05,-0.104922,313.066,297.897583
313.45,-0.104576,313.466,297.9652405
313.85,-0.10492,313.866,297.8840332
314.35,-0.104574,314.333,297.8569641
314.65,-0.104576,314.666,297.8027954
315.05,-0.104922,315.066,297.7417908
315.55,-0.104748,315.533,297.8501892
315.85,-0.104576,315.866,297.8366394
316.35,-0.104922,316.333,297.7756958
316.65,-0.104746,316.666,297.8095703
317.05,-0.104576,317.066,297.9381714
317.4,-0.10492,317.4,297.8501892
317.85,-0.104748,317.866,297.863739
318.25,-0.104748,318.266,297.8840332
318.65,-0.10492,318.666,297.9178772
319.05,-0.10492,319.066,297.9449463
319.45,-0.104576,319.466,297.8908081
319.8,-0.104743,319.8,297.8366394
320.2,-0.104922,320.199,297.8569641
320.65,-0.104748,320.666,297.8434143
321.05,-0.104571,321.066,297.8027954
321.45,-0.104922,321.466,297.7824707
321.8,-0.104748,321.8,297.8095703
322.2,-0.104576,322.199,297.7689209
322.55,-0.10492,322.533,297.7214661
322.95,-0.104922,322.933,297.7079163
323.25,-0.104576,323.266,297.7146912
323.65,-0.105094,323.666,297.6807861
324.05,-0.104748,324.066,297.653656
324.4,-0.104748,324.4,297.6400757
324.8,-0.104571,324.8,297.6197205
325.2,-0.10492,325.199,297.6197205
325.6,-0.104748,325.6,297.6672363
326.05,-0.104571,326.066,297.653656
326.4,-0.10492,326.4,297.6468811
326.85,-0.104748,326.866,297.6400757
327.2,-0.104748,327.199,297.5722351
327.65,-0.10492,327.666,297.4703369
328,-0.10492,328,297.6197205
328.45,-0.104576,328.466,297.6197205
328.95,-0.10492,328.933,297.5586548
329.35,-0.104748,329.333,297.4975281
329.75,-0.104576,329.733,297.4703369
330.15,-0.105092,330.133,297.5314941
330.45,-0.104922,330.466,297.4771423
330.85,-0.104748,330.866,297.4431458
331.2,-0.104569,331.199,297.6197205
331.65,-0.10492,331.666,297.7011414
332.05,-0.104748,332.066,297.6740112
332.55,-0.105092,332.533,297.6400757
332.85,-0.10492,332.866,297.5857849
333.25,-0.10492,333.266,297.5586548
333.65,-0.104576,333.666,297.5586548
334.15,-0.105094,334.133,297.5450745
334.45,-0.104748,334.466,297.5450745
334.85,-0.104748,334.866,297.7079163
335.2,-0.10492,335.199,297.7011414
335.65,-0.10492,335.666,297.687561
336.05,-0.104748,336.066,297.7146912
336.4,-0.104748,336.4,297.6943359
336.8,-0.10492,336.8,297.653656
337.2,-0.104748,337.199,297.7417908
337.6,-0.104748,337.6,297.7417908
338,-0.10492,338,297.8027954
338.35,-0.10492,338.333,297.8569641
338.75,-0.104748,338.733,297.7960205
339.15,-0.105092,339.133,297.7146912
339.65,-0.104922,339.666,297.762146
340.05,-0.104922,340.066,297.7892456
340.45,-0.105092,340.466,297.8095703
340.8,-0.105092,340.8,297.7689209
341.15,-0.104748,341.133,297.7553711
341.55,-0.104922,341.533,297.8163452
342,-0.105092,342,297.8569641
342.35,-0.105094,342.333,297.8840332
342.75,-0.104748,342.733,297.9313965
343.15,-0.105092,343.133,297.7689209
343.45,-0.10492,343.466,297.8840332
343.85,-0.10492,343.866,297.8840332
344.25,-0.104748,344.266,297.897583
344.65,-0.105092,344.666,297.7756958
345.2,-0.105094,345.199,297.863739
345.55,-0.104748,345.533,297.8366394
346,-0.105266,346,297.7960205
346.4,-0.10492,346.4,297.7079163
346.8,-0.10492,346.8,297.6943359
347.2,-0.105092,347.199,297.7214661
347.6,-0.105092,347.6,297.7011414
348,-0.10492,348,297.6807861
348.4,-0.104748,348.4,297.7756958
348.8,-0.105092,348.8,297.7892456
349.25,-0.10492,349.266,297.8569641
349.8,-0.104915,349.8,297.8027954
350.15,-0.105092,350.133,297.762146
350.6,-0.105094,350.6,297.7146912
351,-0.10492,351,297.7417908
351.4,-0.105092,351.4,297.7960205
351.8,-0.105092,351.8,297.7214661
352.25,-0.104922,352.266,297.6807861
352.6,-0.104915,352.6,297.6943359
353.05,-0.105094,353.066,297.7146912
353.4,-0.105092,353.4,297.5450745
353.8,-0.104748,353.8,297.6061707
354.2,-0.105266,354.199,297.6943359
354.6,-0.10492,354.6,297.762146
355,-0.10492,355,297.6943359
355.4,-0.104748,355.4,297.6400757
355.85,-0.105092,355.866,297.6943359
356.2,-0.10492,356.199,297.7417908
356.65,-0.104748,356.666,297.7146912
357.05,-0.105092,357.066,297.6943359
357.55,-0.10492,357.533,297.6604309
357.95,-0.10492,357.933,297.762146
358.35,-0.105092,358.333,297.6197205
358.75,-0.105092,358.733,297.5314941
359.15,-0.10492,359.133,297.5722351
359.55,-0.104748,359.533,297.5722351
359.95,-0.105092,359.933,297.5586548
360.35,-0.10492,360.333,297.7011414
360.75,-0.10492,360.733,297.6943359
361.15,-0.105092,361.133,297.7079163
361.45,-0.105092,361.466,297.6807861
361.95,-0.10492,361.933,297.6400757
362.25,-0.10492,362.266,297.6604309
362.65,-0.105092,362.666,297.6740112
363.05,-0.105092,363.066,297.5450745
363.45,-0.104748,363.466,297.5111084
363.85,-0.10492,363.866,297.5586548
364.35,-0.105094,364.333,297.5586548
364.75,-0.105094,364.733,297.5993652
365.2,-0.104748,365.199,297.5586548
365.55,-0.105092,365.533,297.6468811
365.95,-0.10492,365.933,297.7011414
366.4,-0.104748,366.4,297.7689209
366.8,-0.104748,366.8,297.762146
367.2,-0.10492,367.199,297.7553711
367.55,-0.105092,367.533,297.7756958
368,-0.104748,368,297.7011414
368.35,-0.104915,368.333,297.7011414
368.75,-0.105092,368.733,297.7011414
369.15,-0.105092,369.133,297.653656
369.55,-0.104748,369.533,297.6197205
369.95,-0.105264,369.933,297.6061707
370.35,-0.10492,370.333,297.6197205
370.75,-0.10492,370.733,297.5586548
371.15,-0.104748,371.133,297.5925903
371.55,-0.105092,371.533,297.5586548
371.95,-0.105092,371.933,297.5450745
372.35,-0.104922,372.333,297.5450745
372.8,-0.104748,372.8,297.5993652
373.15,-0.105092,373.133,297.5586548
373.6,-0.105092,373.6,297.5450745
373.95,-0.10492,373.933,297.5722351
374.4,-0.105264,374.4,297.5993652
374.75,-0.105092,374.733,297.7079163
375.2,-0.105608,375.199,297.687561
375.6,-0.105264,375.6,297.6468811
376.05,-0.105782,376.066,297.6333008
376.4,-0.105264,376.4,297.5857849
376.85,-0.10492,376.866,297.5586548
377.2,-0.10492,377.199,297.5178833
377.65,-0.105092,377.666,297.6468811
378,-0.105092,378,297.687561
378.4,-0.104746,378.4,297.7417908
